"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"114","Flojo","18","Flojo_E1_S3_T1-6","C2","None",1,"L","1",292.24,11.8,305.56,"C2",13.32,1,"C","2","C","2"
"115","Flojo","19","Flojo_E1_S4_T1-6","F3","C1",1,"M","2",34.08,9.12,45.48,"F3",11.4,1,"F","3","F","3"
"116","Flojo","2","Flojo_E1_S1_T1-5","B2","None",2,"S","1",97.68,6.47999999999999,105.92,"B3",8.23999999999999,0,"B","2","B","3"
"117","Flojo","20","Flojo_E1_S4_T1-6","B3","E2",1,"L","2",83,14.68,99.44,"B3",16.44,1,"B","3","B","3"
"118","Flojo","21","Flojo_E1_S4_T1-6","A3","None",3,"S","1",133.2,6,142.04,"A1",8.84,0,"A","3","A","1"
"119","Flojo","22","Flojo_E1_S4_T1-6","D2","None",2,"M","1",178.72,9.59999999999999,190.12,"D1",11.4,0,"D","2","D","1"
"120","Flojo","23","Flojo_E1_S4_T1-6","C2","F2",2,"S","2",222.48,7.92000000000002,232.96,"C1",10.48,0,"C","2","C","1"
"121","Flojo","24","Flojo_E1_S4_T1-6","E1","None",1,"L","1",271.64,11.04,284.24,"E1",12.6,1,"E","1","E","1"
"122","Flojo","25","Flojo_E1_S5_T1-6","F3","None",1,"M","1",20.36,8.2,30.8,"F3",10.44,1,"F","3","F","3"
"123","Flojo","26","Flojo_E1_S5_T1-6","D2","None",2,"S","1",59,7.68000000000001,68.16,"D3",9.16,0,"D","2","D","3"
"124","Flojo","27","Flojo_E1_S5_T1-6","E2","None",2,"L","1",94.76,13.32,109.48,"E1",14.72,0,"E","2","E","1"
"125","Flojo","28","Flojo_E1_S5_T1-6","C1","F1",1,"M","2",148.12,10.08,160.04,"C1",11.92,1,"C","1","C","1"
"126","Flojo","29","Flojo_E1_S5_T1-6","A1","D3",2,"S","2",201.16,7.59999999999999,210.64,"A2",9.47999999999999,0,"A","1","A","2"
